Sr Number,SK,Quantity,Length,ToolCode,Description
266,11,3,510,A04561,Standard Type Punch 0.6 tip radius 510mm Length AFH 120 86 degrees
267,11,3,510,A19561,Straight Type Punch 0.6 Tip Radius 510mm Length AFH 120 86 degrees
268,11,4,510,A20561,Sash Type Punch 0.6 Tip Radius 510mm Length AFH 120 86 degrees
