Sr Number,SK,Quantity,Length,ToolCode,Description
270,11,2,510,A13561,Acute Type Punch 0.6 Tip Radius 510mm Length AFH 120 30 degrees
271,11,1,200,A13762,Acute Type Punch 0.6 Tip Radius 200mm Length AFH 120 30 degrees
272,11,1,200E,A13961,Acute Type Ear Punch 0.6 Tip Radius 200mm Length AFH 120 30 degrees
273,11,1,370,A13861,Acute Type Punch 0.6 Tip Radius 370mm Length AFH 120 30 degrees
