Sr Number,SK,Quantity,Length,ToolCode,Description
328,11,3,510,A04561,Standard Type Punch 0.6 tip radius 510mm Length AFH 120 86 degrees
329,11,1,510,A20561,Sash Type Punch 0.6 Tip Radius 510mm Length AFH 120 86 degrees
330,11,4,510,A04561,Standard Type Punch 0.6 tip radius 510mm Length AFH 120 86 degrees
