Sr Number,SK,Quantity,Length,ToolCode,Description
395,11,5,510,A93561,Gooseneck Type Punch 0.6 Tip Radius 510mm Length AFH 90 86 degrees
396,11,1,200,A93762,Gooseneck Type Punch 0.6 Tip Radius 200mm Length AFH 90 86 degrees
397,11,1,370,A93861,Gooseneck Type Punch 0.6 Tip Radius 370mm Sectionalized Length AFH 90 86 degrees
398,11,1,200E,A93961,Gooseneck Type Ear Punch 0.6 Tip Radius 200mm Length AFH 90 86 degrees
